Year,Sex,Age group (years) at date of injury,Geographic region where injury occurred,Employment status,Occupation
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2002,Total,Total,Total,Total,Total
2003,Total,Total,Total,Total,Total
2004,Total,Total,Total,Total,Total
2005,Total,Total,Total,Total,Total
2006,Total,Total,Total,Total,Total
2007,Total,Total,Total,Total,Total
2008,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2002,Male,Total,Total,Total,Total
2003,Male,Total,Total,Total,Total
2004,Male,Total,Total,Total,Total
2005,Male,Total,Total,Total,Total
2006,Male,Total,Total,Total,Total
2007,Male,Total,Total,Total,Total
2008,Male,Total,Total,Total,Total
2009,Male,Total,Total,Total,Total
2010,Male,Total,Total,Total,Total
2011,Male,Total,Total,Total,Total
2012,Male,Total,Total,Total,Total
2013,Male,Total,Total,Total,Total
2014,Male,Total,Total,Total,Total
2015,Male,Total,Total,Total,Total
2016,Male,Total,Total,Total,Total
2017,Male,Total,Total,Total,Total
2018,Male,Total,Total,Total,Total
2002,Female,Total,Total,Total,Total
2003,Female,Total,Total,Total,Total
2004,Female,Total,Total,Total,Total
2005,Female,Total,Total,Total,Total
2006,Female,Total,Total,Total,Total
2007,Female,Total,Total,Total,Total
2008,Female,Total,Total,Total,Total
2009,Female,Total,Total,Total,Total
2010,Female,Total,Total,Total,Total
2011,Female,Total,Total,Total,Total
2012,Female,Total,Total,Total,Total
2013,Female,Total,Total,Total,Total
2014,Female,Total,Total,Total,Total
2015,Female,Total,Total,Total,Total
2016,Female,Total,Total,Total,Total
2017,Female,Total,Total,Total,Total
2018,Female,Total,Total,Total,Total
2002,Total,15–24,Total,Total,Total
2003,Total,15–24,Total,Total,Total
2004,Total,15–24,Total,Total,Total
2005,Total,15–24,Total,Total,Total
2006,Total,15–24,Total,Total,Total
2007,Total,15–24,Total,Total,Total
2008,Total,15–24,Total,Total,Total
2009,Total,15–24,Total,Total,Total
2010,Total,15–24,Total,Total,Total
2011,Total,15–24,Total,Total,Total
2012,Total,15–24,Total,Total,Total
2013,Total,15–24,Total,Total,Total
2014,Total,15–24,Total,Total,Total
2015,Total,15–24,Total,Total,Total
2016,Total,15–24,Total,Total,Total
2017,Total,15–24,Total,Total,Total
2018,Total,15–24,Total,Total,Total
2002,Total,25–34 ,Total,Total,Total
2003,Total,25–34 ,Total,Total,Total
2004,Total,25–34,Total,Total,Total
2005,Total,25–34,Total,Total,Total
2006,Total,25–34,Total,Total,Total
2007,Total,25–34,Total,Total,Total
2008,Total,25–34,Total,Total,Total
2009,Total,25–34,Total,Total,Total
2010,Total,25–34,Total,Total,Total
2011,Total,25–34,Total,Total,Total
2012,Total,25–34,Total,Total,Total
2013,Total,25–34,Total,Total,Total
2014,Total,25–34,Total,Total,Total
2015,Total,25–34,Total,Total,Total
2016,Total,25–34,Total,Total,Total
2017,Total,25–34,Total,Total,Total
2018,Total,25–34,Total,Total,Total
2002,Total,35–44,Total,Total,Total
2003,Total,35–44,Total,Total,Total
2004,Total,35–44,Total,Total,Total
2005,Total,35–44,Total,Total,Total
2006,Total,35–44,Total,Total,Total
2007,Total,35–44,Total,Total,Total
2008,Total,35–44,Total,Total,Total
2009,Total,35–44,Total,Total,Total
2010,Total,35–44,Total,Total,Total
2011,Total,35–44,Total,Total,Total
2012,Total,35–44,Total,Total,Total
2013,Total,35–44,Total,Total,Total
2014,Total,35–44,Total,Total,Total
2015,Total,35–44,Total,Total,Total
2016,Total,35–44,Total,Total,Total
2017,Total,35–44,Total,Total,Total
2018,Total,35–44,Total,Total,Total
2002,Total,45–54,Total,Total,Total
2003,Total,45–54,Total,Total,Total
2004,Total,45–54,Total,Total,Total
2005,Total,45–54,Total,Total,Total
2006,Total,45–54,Total,Total,Total
2007,Total,45–54,Total,Total,Total
2008,Total,45–54,Total,Total,Total
2009,Total,45–54,Total,Total,Total
2010,Total,45–54,Total,Total,Total
2011,Total,45–54,Total,Total,Total
2012,Total,45–54,Total,Total,Total
2013,Total,45–54,Total,Total,Total
2014,Total,45–54,Total,Total,Total
2015,Total,45–54,Total,Total,Total
2016,Total,45–54,Total,Total,Total
2017,Total,45–54,Total,Total,Total
2018,Total,45–54,Total,Total,Total
2002,Total,55–64,Total,Total,Total
2003,Total,55–64,Total,Total,Total
2004,Total,55–64,Total,Total,Total
2005,Total,55–64,Total,Total,Total
2006,Total,55–64,Total,Total,Total
2007,Total,55–64,Total,Total,Total
2008,Total,55–64,Total,Total,Total
2009,Total,55–64,Total,Total,Total
2010,Total,55–64,Total,Total,Total
2011,Total,55–64,Total,Total,Total
2012,Total,55–64,Total,Total,Total
2013,Total,55–64,Total,Total,Total
2014,Total,55–64,Total,Total,Total
2015,Total,55–64,Total,Total,Total
2016,Total,55–64,Total,Total,Total
2017,Total,55–64,Total,Total,Total
2018,Total,55–64,Total,Total,Total
2002,Total,65–74 ,Total,Total,Total
2003,Total,65–74 ,Total,Total,Total
2004,Total,65–74,Total,Total,Total
2005,Total,65–74,Total,Total,Total
2006,Total,65–74,Total,Total,Total
2007,Total,65–74,Total,Total,Total
2008,Total,65–74,Total,Total,Total
2009,Total,65–74,Total,Total,Total
2010,Total,65–74,Total,Total,Total
2011,Total,65–74,Total,Total,Total
2012,Total,65–74,Total,Total,Total
2013,Total,65–74,Total,Total,Total
2014,Total,65–74,Total,Total,Total
2015,Total,65–74,Total,Total,Total
2016,Total,65–74,Total,Total,Total
2017,Total,65–74,Total,Total,Total
2018,Total,65–74,Total,Total,Total
2002,Total,75 and over,Total,Total,Total
2003,Total,75 and over,Total,Total,Total
2004,Total,75 and over,Total,Total,Total
2005,Total,75 and over,Total,Total,Total
2006,Total,75 and over,Total,Total,Total
2007,Total,75 and over,Total,Total,Total
2008,Total,75 and over,Total,Total,Total
2009,Total,75 and over,Total,Total,Total
2010,Total,75 and over,Total,Total,Total
2011,Total,75 and over,Total,Total,Total
2012,Total,75 and over,Total,Total,Total
2013,Total,75 and over,Total,Total,Total
2014,Total,75 and over,Total,Total,Total
2015,Total,75 and over,Total,Total,Total
2016,Total,75 and over,Total,Total,Total
2017,Total,75 and over,Total,Total,Total
2018,Total,75 and over,Total,Total,Total
2002,Total,Total,Northland,Total,Total
2003,Total,Total,Northland,Total,Total
2004,Total,Total,Northland,Total,Total
2005,Total,Total,Northland,Total,Total
2006,Total,Total,Northland,Total,Total
2007,Total,Total,Northland,Total,Total
2008,Total,Total,Northland,Total,Total
2009,Total,Total,Northland,Total,Total
2010,Total,Total,Northland,Total,Total
2011,Total,Total,Northland,Total,Total
2012,Total,Total,Northland,Total,Total
2013,Total,Total,Northland,Total,Total
2014,Total,Total,Northland,Total,Total
2015,Total,Total,Northland,Total,Total
2016,Total,Total,Northland,Total,Total
2017,Total,Total,Northland,Total,Total
2018,Total,Total,Northland,Total,Total
2002,Total,Total,Auckland,Total,Total
2003,Total,Total,Auckland,Total,Total
2004,Total,Total,Auckland,Total,Total
2005,Total,Total,Auckland,Total,Total
2006,Total,Total,Auckland,Total,Total
2007,Total,Total,Auckland,Total,Total
2008,Total,Total,Auckland,Total,Total
2009,Total,Total,Auckland,Total,Total
2010,Total,Total,Auckland,Total,Total
2011,Total,Total,Auckland,Total,Total
2012,Total,Total,Auckland,Total,Total
2013,Total,Total,Auckland,Total,Total
2014,Total,Total,Auckland,Total,Total
2015,Total,Total,Auckland,Total,Total
2016,Total,Total,Auckland,Total,Total
2017,Total,Total,Auckland,Total,Total
2018,Total,Total,Auckland,Total,Total
2002,Total,Total,Waikato,Total,Total
2003,Total,Total,Waikato,Total,Total
2004,Total,Total,Waikato,Total,Total
2005,Total,Total,Waikato,Total,Total
2006,Total,Total,Waikato,Total,Total
2007,Total,Total,Waikato,Total,Total
2008,Total,Total,Waikato,Total,Total
2009,Total,Total,Waikato,Total,Total
2010,Total,Total,Waikato,Total,Total
2011,Total,Total,Waikato,Total,Total
2012,Total,Total,Waikato,Total,Total
2013,Total,Total,Waikato,Total,Total
2014,Total,Total,Waikato,Total,Total
2015,Total,Total,Waikato,Total,Total
2016,Total,Total,Waikato,Total,Total
2017,Total,Total,Waikato,Total,Total
2018,Total,Total,Waikato,Total,Total
2002,Total,Total,Bay of Plenty,Total,Total
2003,Total,Total,Bay of Plenty,Total,Total
2004,Total,Total,Bay of Plenty,Total,Total
2005,Total,Total,Bay of Plenty,Total,Total
2006,Total,Total,Bay of Plenty,Total,Total
2007,Total,Total,Bay of Plenty,Total,Total
2008,Total,Total,Bay of Plenty,Total,Total
2009,Total,Total,Bay of Plenty,Total,Total
2010,Total,Total,Bay of Plenty,Total,Total
2011,Total,Total,Bay of Plenty,Total,Total
2012,Total,Total,Bay of Plenty,Total,Total
2013,Total,Total,Bay of Plenty,Total,Total
2014,Total,Total,Bay of Plenty,Total,Total
2015,Total,Total,Bay of Plenty,Total,Total
2016,Total,Total,Bay of Plenty,Total,Total
2017,Total,Total,Bay of Plenty,Total,Total
2018,Total,Total,Bay of Plenty,Total,Total
2002,Total,Total,Gisborne Hawke's Bay,Total,Total
2003,Total,Total,Gisborne Hawke's Bay,Total,Total
2004,Total,Total,Gisborne Hawke's Bay,Total,Total
2005,Total,Total,Gisborne Hawke's Bay,Total,Total
2006,Total,Total,Gisborne Hawke's Bay,Total,Total
2007,Total,Total,Gisborne Hawke's Bay,Total,Total
2008,Total,Total,Gisborne Hawke's Bay,Total,Total
2009,Total,Total,Gisborne Hawke's Bay,Total,Total
2010,Total,Total,Gisborne Hawke's Bay,Total,Total
2011,Total,Total,Gisborne Hawke's Bay,Total,Total
2012,Total,Total,Gisborne Hawke's Bay,Total,Total
2013,Total,Total,Gisborne Hawke's Bay,Total,Total
2014,Total,Total,Gisborne Hawke's Bay,Total,Total
2015,Total,Total,Gisborne Hawke's Bay,Total,Total
2016,Total,Total,Gisborne Hawke's Bay,Total,Total
2017,Total,Total,Gisborne Hawke's Bay,Total,Total
2018,Total,Total,Gisborne Hawke's Bay,Total,Total
2002,Total,Total,Taranaki,Total,Total
2003,Total,Total,Taranaki,Total,Total
2004,Total,Total,Taranaki,Total,Total
2005,Total,Total,Taranaki,Total,Total
2006,Total,Total,Taranaki,Total,Total
2007,Total,Total,Taranaki,Total,Total
2008,Total,Total,Taranaki,Total,Total
2009,Total,Total,Taranaki,Total,Total
2010,Total,Total,Taranaki,Total,Total
2011,Total,Total,Taranaki,Total,Total
2012,Total,Total,Taranaki,Total,Total
2013,Total,Total,Taranaki,Total,Total
2014,Total,Total,Taranaki,Total,Total
2015,Total,Total,Taranaki,Total,Total
2016,Total,Total,Taranaki,Total,Total
2017,Total,Total,Taranaki,Total,Total
2018,Total,Total,Taranaki,Total,Total
2002,Total,Total,Manawatu Wanganui,Total,Total
2003,Total,Total,Manawatu Wanganui,Total,Total
2004,Total,Total,Manawatu Wanganui,Total,Total
2005,Total,Total,Manawatu Wanganui,Total,Total
2006,Total,Total,Manawatu Wanganui,Total,Total
2007,Total,Total,Manawatu Wanganui,Total,Total
2008,Total,Total,Manawatu Wanganui,Total,Total
2009,Total,Total,Manawatu Wanganui,Total,Total
2010,Total,Total,Manawatu Wanganui,Total,Total
2011,Total,Total,Manawatu Wanganui,Total,Total
2012,Total,Total,Manawatu Wanganui,Total,Total
2013,Total,Total,Manawatu Wanganui,Total,Total
2014,Total,Total,Manawatu Wanganui,Total,Total
2015,Total,Total,Manawatu Wanganui,Total,Total
2016,Total,Total,Manawatu Wanganui,Total,Total
2017,Total,Total,Manawatu Wanganui,Total,Total
2018,Total,Total,Manawatu Wanganui,Total,Total
2002,Total,Total,Wellington,Total,Total
2003,Total,Total,Wellington,Total,Total
2004,Total,Total,Wellington,Total,Total
2005,Total,Total,Wellington,Total,Total
2006,Total,Total,Wellington,Total,Total
2007,Total,Total,Wellington,Total,Total
2008,Total,Total,Wellington,Total,Total
2009,Total,Total,Wellington,Total,Total
2010,Total,Total,Wellington,Total,Total
2011,Total,Total,Wellington,Total,Total
2012,Total,Total,Wellington,Total,Total
2013,Total,Total,Wellington,Total,Total
2014,Total,Total,Wellington,Total,Total
2015,Total,Total,Wellington,Total,Total
2016,Total,Total,Wellington,Total,Total
2017,Total,Total,Wellington,Total,Total
2018,Total,Total,Wellington,Total,Total
2002,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2003,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2004,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2005,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2006,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2007,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2008,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2009,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2010,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2011,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2012,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2013,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2014,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2015,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2016,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2017,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2018,Total,Total,Tasman Nelson Marlborough West Coast,Total,Total
2002,Total,Total,Canterbury,Total,Total
2003,Total,Total,Canterbury,Total,Total
2004,Total,Total,Canterbury,Total,Total
2005,Total,Total,Canterbury,Total,Total
2006,Total,Total,Canterbury,Total,Total
2007,Total,Total,Canterbury,Total,Total
2008,Total,Total,Canterbury,Total,Total
2009,Total,Total,Canterbury,Total,Total
2010,Total,Total,Canterbury,Total,Total
2011,Total,Total,Canterbury,Total,Total
2012,Total,Total,Canterbury,Total,Total
2013,Total,Total,Canterbury,Total,Total
2014,Total,Total,Canterbury,Total,Total
2015,Total,Total,Canterbury,Total,Total
2016,Total,Total,Canterbury,Total,Total
2017,Total,Total,Canterbury,Total,Total
2018,Total,Total,Canterbury,Total,Total
2002,Total,Total,Otago Southland,Total,Total
2003,Total,Total,Otago Southland,Total,Total
2004,Total,Total,Otago Southland,Total,Total
2005,Total,Total,Otago Southland,Total,Total
2006,Total,Total,Otago Southland,Total,Total
2007,Total,Total,Otago Southland,Total,Total
2008,Total,Total,Otago Southland,Total,Total
2009,Total,Total,Otago Southland,Total,Total
2010,Total,Total,Otago Southland,Total,Total
2011,Total,Total,Otago Southland,Total,Total
2012,Total,Total,Otago Southland,Total,Total
2013,Total,Total,Otago Southland,Total,Total
2014,Total,Total,Otago Southland,Total,Total
2015,Total,Total,Otago Southland,Total,Total
2016,Total,Total,Otago Southland,Total,Total
2017,Total,Total,Otago Southland,Total,Total
2018,Total,Total,Otago Southland,Total,Total
2002,Total,Total,Total,Employee,Total
2003,Total,Total,Total,Employee,Total
2004,Total,Total,Total,Employee,Total
2005,Total,Total,Total,Employee,Total
2006,Total,Total,Total,Employee,Total
2007,Total,Total,Total,Employee,Total
2008,Total,Total,Total,Employee,Total
2009,Total,Total,Total,Employee,Total
2010,Total,Total,Total,Employee,Total
2011,Total,Total,Total,Employee,Total
2012,Total,Total,Total,Employee,Total
2013,Total,Total,Total,Employee,Total
2014,Total,Total,Total,Employee,Total
2015,Total,Total,Total,Employee,Total
2016,Total,Total,Total,Employee,Total
2017,Total,Total,Total,Employee,Total
2018,Total,Total,Total,Employee,Total
2002,Total,Total,Total,Self-employed,Total
2003,Total,Total,Total,Self-employed,Total
2004,Total,Total,Total,Self-employed,Total
2005,Total,Total,Total,Self-employed,Total
2006,Total,Total,Total,Self-employed,Total
2007,Total,Total,Total,Self-employed,Total
2008,Total,Total,Total,Self-employed,Total
2009,Total,Total,Total,Self-employed,Total
2010,Total,Total,Total,Self-employed,Total
2011,Total,Total,Total,Self-employed,Total
2012,Total,Total,Total,Self-employed,Total
2013,Total,Total,Total,Self-employed,Total
2014,Total,Total,Total,Self-employed,Total
2015,Total,Total,Total,Self-employed,Total
2016,Total,Total,Total,Self-employed,Total
2017,Total,Total,Total,Self-employed,Total
2018,Total,Total,Total,Self-employed,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
2009,Total,Total,Total,Total,Total
2010,Total,Total,Total,Total,Total
2011,Total,Total,Total,Total,Total
2012,Total,Total,Total,Total,Total
2013,Total,Total,Total,Total,Total
2014,Total,Total,Total,Total,Total
2015,Total,Total,Total,Total,Total
2016,Total,Total,Total,Total,Total
2017,Total,Total,Total,Total,Total
2018,Total,Total,Total,Total,Total
